Item,Form,Price
ACCU-CHEK INSTANT TEST STRIPS / KIT (PROMO) 3'S,Pack,GHS 580.00
ACCU-CHEK PERFORMA TEST STRIPS 50'S,Box,GHS 320.00
ACCU-CHEK SAFE T - PRO LANCET 200'S,Pack,GHS 256.50
ACCU-CHEK SAFE-T-PRO UNO LANCET 200'S,Unit,GHS 168.86
ACCU-CHEK SOFTCLIX LANCET 200'S,Pack,GHS 80.00
ACE FOR COLOURS STAIN REMOVER LIQUID 1LITRE,Btl,GHS 12.00
ACETAZOLAMIDE TABS 250MG,Tab,GHS 1.50
ACETAZOLAMIDE TABS 250MG (AZIMOX),Tab,GHS 1.10
ACETONE- FREE NAIL POLISH REMOVER 150ML,Pcs,GHS 10.00
ACETYLCYSTEINE INJ 20%,Amp,GHS 110.00
ACICLOVIR INTRAVENOUS INJ. 250MG,Amp,GHS 45.00
ACICLOVIR INTRAVENOUS INJ. 500MG,Pcs,GHS 80.00
ACIDOM CAPS (OMEPRAZOLE),Cap,GHS 2.11
ACLOTAS (ACECLOFENAC) TAB 100MG,Tab,GHS 1.00
ACNE CLEANSING BAR,Pcs,GHS 18.00
ACNE SOAP 100G,Pcs,GHS 62.91
ACNE- MAX GEL 30G,Pcs,GHS 240.00
ACRO OVULATION RAPID TEST KIT,Pcs,GHS 17.00
ACTIFED COLD SYRUP 100ML,Btl,GHS 16.00
ACTIFED COLD TABS 12'S (YELLOW),Pack,GHS 52.00
ACTIFED COMP. LINTUS 100ML,Btl,GHS 90.00
ACTIFED DRY COUGH SYRUP,Btl,GHS 80.00
ACTIFED MULTI ACTION DRY COUGH SYR 100ML,Btl,GHS 120.00
ACTIFED MULTI-ACTION CHESTY SYR 100ML,Btl,GHS 80.00
ACTIFED TABS YELLOW & BLUE 12'S,Pack,GHS 48.00
ACTIFED WET COUGH & COLD SYRUP 200ML,Btl,GHS 160.00
ACTIV-MAX IMMUNE HEALTH (VITAMIN C + ZINC),Pcs,GHS 36.00
ACTIVATED CHARCOAL POWDER 50G,Btl,GHS 156.00
ACTIVATED CHARCOAL TAB 300MG,Tab,GHS 1.50
ACTRAPID SOLUBLE INSULIN 100IU/ML,Box,GHS 95.00
ACU-LIFE DOSAGE SYRING & SPOON,Pcs,GHS 20.00
ACU-LIFE PILL SPLITTER BOX,Pcs,GHS 80.00
ACU-LIFE WEEKLY PILLS ORGANIZER,Pcs,GHS 40.00
ACULAR LS EYE DROP,Drops,GHS 106.00
ACUPAN 20MG INJ 5'S,Amp,GHS 29.16
ACYCLOVIR 5% CREAM 10G (UK),Tube,GHS 150.00
ACYCLOVIR CREAM 5G UK (LIPSORE),Tube,GHS 100.00
ACYCLOVIR EYE OINT 5G (UK),Tube,GHS 88.00
AD801-INFRARED FOREHEAD THERMOMETHER,Pcs,GHS 80.00
ADALAT CAPS 10MG,Cap,GHS 1.50
ADALAT LA 60MG,Tab,GHS 5.60
ADALAT TABS 20MG,Tab,GHS 3.00
ADALAT TABS 30MG,Tab,GHS 7.20
ADALAT TABS CR 30MG,Tab,GHS 7.20
ADAM'S SECRET CAPS 1'S,Cap,GHS 41.07
ADAPALENE (DIFFERIN) GEL 30G,Tube,GHS 220.00
ADAPALENE CLINDAMYCIN PHOSPHATE GEL 15G,Tube,GHS 105.00
ADDITIVA MAGNESIUM 300MG SACHET,Pack,GHS 3.00
ADDYZOA CAPS,Tab,GHS 10.36
ADENOSINE INJ. 6MG (CARNOSIN),Pack,GHS 100.00
ADHESIVE BANDAGE 10CM X 4.5CM,Pcs,GHS 4.00
ADIDAS AFTER SHAVE 100ML CHAMPIONS EDITION,Btl,GHS 100.00
ADIDAS AFTER SHAVE 100ML ICE DIVE,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 100ML TEAM FIVE,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 100ML TEAM FORCE,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 100MLS DYNAMIC PULSE,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 100MLS GET READY,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 100MLS PURE GAME,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 100MLS VICTORY LEAGUE,Pcs,GHS 100.00
ADIDAS AFTER SHAVE 50ML,Pcs,GHS 12.00
ADIDAS DEO SPRAY 150ML,Pcs,GHS 45.00
